name,ticker
이수스페셜티케미컬,457190
영원무역홀딩스,009970
이마트,139480
달바글로벌,483650
TIGER 코리아TOP10,292150
동서,026960
DN오토모티브,007340
TIME 미국나스닥100액티브,426030
한국앤컴퍼니,000240
코리안리,003690
두산우,000155
KODEX 200미국채혼합,284430
농심,004370
대한조선,439260
TIGER KOFR금리액티브(합성),449170
RISE 종합채권(A-이상)액티브,385540
GS건설,006360
케이뱅크,279570
BGF리테일,282330
KODEX 단기채권PLUS,214980
SK네트웍스,001740
KIWOOM 200TR,294400
미스토홀딩스,081660
제일기획,030000
HD현대마린엔진,071970
한전KPS,051600
한미사이언스,008930
KODEX 미국AI전력핵심인프라,487230
호텔신라,008770
현대위아,011210
SK가스,018670
GS리테일,007070
KODEX 2차전지산업,305720
풍산,103140
현대지에프홀딩스,005440
TIGER 미국나스닥100타겟데일리커버드콜,486290
한국콜마,161890
시프트업,462870
KODEX 반도체레버리지,494310
HJ중공업,097230
코스맥스,192820
코오롱인더,120110
CJ대한통운,000120
PLUS 200,152100
ACE 200,105190
ACE 미국30년국채액티브(H),453850
KODEX Top5PlusTR,315930
씨에스윈드,112610
TIGER 배당커버드콜액티브,472150
ACE 글로벌반도체TOP4 Plus,446770
LS에코에너지,229640
SOL 조선TOP3플러스,466920
HD현대에너지솔루션,322000
KODEX 미국배당커버드콜액티브,441640
아모레퍼시픽홀딩스,002790
세아베스틸지주,001430
RISE 미국나스닥100,368590
다우기술,023590
RISE 미국S&P500,379780
TIGER 반도체,091230
한국카본,017960
NHN,181710
오리온홀딩스,001800
삼성전기우,009155
LG전자우,066575
RISE CD금리액티브(합성),477080
동원산업,006040
TIGER 코스닥150,232080
TIGER CD1년금리액티브(합성),475630
LX인터내셔널,001120
SK리츠,395400
더블유게임즈,192080
KODEX 로봇액티브,445290
녹십자,006280
코스모신소재,005070
아시아나항공,020560
SK아이이테크놀로지,361610
KODEX 미국반도체,390390
대신증권,003540
롯데관광개발,032350
TIGER 리츠부동산인프라,329200
파라다이스,034230
SNT다이내믹스,003570
TIGER 단기통안채,157450
효성티앤씨,298020
대웅제약,069620
삼성 레버리지 WTI원유 선물 ETN,530031
TIGER 반도체TOP10레버리지,488080
메리츠 KIS CD금리투자 ETN,610063
TIGER 미국필라델피아AI반도체나스닥,497570
오뚜기,007310
SOL 종합채권(AA-이상)액티브,436140
하나 CD금리투자 ETN,700026
PLUS 글로벌HBM반도체,442580
KODEX 삼성전자채권혼합,448330
금호타이어,073240
KODEX 200선물인버스2X,252670
IPARK현대산업개발,294870
STX엔진,077970
케이씨텍,281820
PLUS K방산,449450
교보증권,030610
SOL 초단기채권액티브,469830
삼성화재우,000815
롯데정밀화학,004000
KODEX 200액티브,494890
ACE 종합채권(AA-이상)액티브,356540
KB발해인프라,415640
ACE 미국S&P500미국채혼합50액티브,438080
KODEX 인버스,114800
한화투자증권,003530
동양생명,082640
후성,093370
HDC,012630
LG화학우,051915
ACE AI반도체TOP3+,469150
해성디에스,195870
ACE 미국빅테크TOP7 Plus,465580
TIGER 차이나전기차SOLACTIVE,371460
하이트진로,000080
TIGER 종합채권(AA-이상)액티브,451540
ACE 테슬라밸류체인액티브,457480
SK이터닉스,475150
롯데렌탈,089860
KODEX 코스피,226490
키움 레버리지 반도체TOP10 ETN,760013
TIGER 2차전지테마,305540
KODEX 코스피100,237350
TIGER 미국필라델피아반도체레버리지(합성),423920
삼화콘덴서,001820
SOL 미국배당다우존스,446720
SOL AI반도체소부장,455850
한일시멘트,300720
DL,000210
RISE KOFR금리액티브(합성),479520
RISE 코리아밸류업,495050
키움 CD금리투자 ETN,760009
하나 레버리지 반도체 ETN,700028
종근당,185750
삼아알미늄,006110
대웅,003090
롯데웰푸드,280360
롯데칠성,005300
롯데리츠,330590
태광산업,003240
경동나비엔,009450
한국금융지주우,071055
OCI,456040
TIGER 미국30년국채커버드콜액티브(H),476550
TIGER 현대차그룹플러스,138540
ACE 미국배당다우존스,402970
KODEX 미국S&P500(H),449180
KODEX 은선물(H),144600
유안타증권,003470
SK오션플랜트,100090
TIME Korea플러스배당액티브,441800
GS피앤엘,499790
비에이치,090460
1Q 머니마켓액티브,479080
TIGER 200IT레버리지,243880
ACE 머니마켓액티브,487340
영풍,000670
KODEX 미국나스닥100데일리커버드콜OTM,494300
ACE 미국나스닥100미국채혼합50액티브,438100
쿠쿠홀딩스,192400
현대홈쇼핑,057050
ESR켄달스퀘어리츠,365550
KODEX 미국30년국채타겟커버드콜(합성 H),481060
KODEX 단기채권,153130
KIWOOM 200,069660
RISE 네트워크인프라,367760
TIGER 은행고배당플러스TOP10,466940
RISE 200위클리커버드콜,475720
RISE KIS국고채30년Enhanced,385560
KODEX 증권,102970
에스디바이오센서,137310
HS효성첨단소재,298050
TIGER 글로벌AI전력인프라액티브,491010
NICE평가정보,030190
솔루엠,248070
KODEX 코리아밸류업,495850
LX세미콘,108320
TIGER 단기채권액티브,272580
HANARO 원자력iSelect,434730
RISE 미국AI밸류체인데일리고정커버드콜,490590
N2 KIS CD금리투자 ETN,550082
SNT홀딩스,036530
이노션,214320
KODEX 금융고배당TOP10타겟위클리커버드콜,498410
지역난방공사,071320
대원전선,006340
TIGER 차이나항셍테크,371160
한화리츠,451800
아이에스동서,010780
SK디스커버리,006120
세진중공업,075580
TIGER 미국배당다우존스타겟커버드콜2호,458760
대한유화,006650
GKL,114090
파미셀,005690
한국단자,025540
CJ CGV,079160
SOL 200TR,295040
전진건설로봇,079900
SNT모티브,064960
KODEX 미국달러SOFR금리액티브(합성),455030
솔루스첨단소재,336370
세방전지,004490
자화전자,033240
KB KIS CD금리투자 ETN,580058
TIGER 2차전지TOP10,364980
한샘,009240
보령,003850
TIGER 미국달러SOFR금리액티브(합성),456610
KODEX 2차전지산업레버리지,462330
디아이,003160
SK증권,001510
SK케미칼,285130
TIGER K방산&우주,463250
TIGER 조선TOP10,494670
한화손해보험,000370
PLUS 고배당주채권혼합,251600
KODEX 미국30년국채액티브(H),484790
한국쉘석유,002960
KODEX 미국빅테크10(H),314250
SNT에너지,100840
넥센타이어,002350
금양,001570
TKG휴켐스,069260
신한알파리츠,293940
대상,001680
KODEX TDF2050액티브 적격,434060
TIGER 2차전지소재Fn,462010
대한해운,005880
TIGER 미국S&P500타겟데일리커버드콜,482730
카프로,006380
빙그레,005180
SOL 코리아메가테크액티브,444200
RISE 대형고배당10TR,315960
명인제약,317450
F&F홀딩스,007700
SGC에너지,005090
LF,093050
코오롱,002020
부국증권,001270
KODEX 은행,091170
TIGER 미국달러단기채권액티브,329750
ACE 국고채10년,365780
PI첨단소재,178920
KG모빌리티,003620
LX홀딩스,383800
KODEX 국고채10년액티브,471230
KODEX 미국나스닥100(H),449190
TIGER 코리아밸류업,496080
세아홀딩스,058650
TIGER 우량회사채액티브,438330
일동제약,249420
TIGER 글로벌AI액티브,466950
HANARO 200,293180
동원시스템즈,014820
롯데손해보험,000400
KODEX 국고채3년,114260
대덕,008060
KODEX 미국배당다우존스,489250
미원상사,002840
JW중외제약,001060
엠앤씨솔루션,484870
E1,017940
동아쏘시오홀딩스,000640
세아제강지주,003030
KODEX 미국AI테크TOP10타겟커버드콜,483280
KODEX MSCI선진국,251350
KODEX 26-12 회사채(AA-이상)액티브,473290
현대차3우B,005389
TIGER 테슬라채권혼합Fn,447770
현대차증권,001500
현대그린푸드,453340
미래에셋 레버리지 코스피200 선물 ETN,520054
PLUS 종합채권(AA-이상)액티브,451000
KODEX 자동차,091180
하나투어,039130
풍산홀딩스,005810
KG스틸,016380
한일홀딩스,003300
RISE 200TR,361580
대신증권우,003545
TIGER 미국30년국채스트립액티브(합성 H),458250
TIGER 코스피,277630
RISE ESG사회책임투자,290130
TIGER 미국S&P500(H),448290
미원에스씨,268280
TIGER 미국나스닥100레버리지(합성),418660
TIGER 미국테크TOP10타겟커버드콜,474220
고려제강,002240
애경케미칼,161000
태영건설,009410
맵스리얼티,094800
KODEX 한국부동산리츠인프라,476800
쿠쿠홈시스,284740
TIGER 27-04회사채(A+이상)액티브,480260
1Q 200액티브,451060
한화갤러리아,452260
RISE 미국테크100데일리고정커버드콜,491620
녹십자홀딩스,005250
신세계인터내셔날,031430
TIGER CD금리플러스액티브(합성),499660
SOL 미국배당미국채혼합50,490490
일진하이솔루스,271940
바이오노트,377740
RISE AI&로봇,469070
DI동일,001530
흥아해운,003280
제주은행,006220
동국제강,460860
KoAct 바이오헬스케어액티브,462900
NH투자증권우,005945
한섬,020000
SOL 자동차TOP3플러스,466930
NICE,034310
TIME 코스피액티브,385720
코스모화학,005420
광전자,017900
유니드,014830
신풍제약,019170
삼성FN리츠,448730
삼양사,145990
DB증권,016610
한솔테크닉스,004710
명신산업,009900
TIGER 미국나스닥100채권혼합50,435420
KODEX AI반도체핵심장비,471990
조광피혁,004700
유진투자증권,001200
쏘카,403550
케이카,381970
삼양홀딩스,000070
삼천리,004690
부광약품,003000
신성이엔지,011930
율촌화학,008730
TIGER 차이나반도체FACTSET,396520
두산2우B,000157
한전산업,130660
농심홀딩스,072710
BGF,027410
RISE 단기채권알파액티브,385550
KIWOOM 국고채10년,148070
티엠씨,217590
코람코더원리츠,417310
KODEX 국고채30년액티브,439870
INVENI,015360
아모레퍼시픽우,090435
KODEX 신재생에너지액티브,385510
프레스티지바이오파마,950210
KODEX 인도Nifty50,453810
TIGER 레버리지,123320
코람코라이프인프라리츠,357120
PLUS 머니마켓액티브,477050
RISE 코스닥150,270810
신도리코,029530
삼영무역,002810
KIWOOM 종합채권(AA-이상)액티브,454780
디아이씨,092200
TIME 미국S&P500액티브,426020
KODEX 골드선물(H),132030
ACE 미국달러SOFR금리(합성),456880
화신,010690
KODEX ESG종합채권(A-이상)액티브,439860
HL홀딩스,060980
덴티움,145720
퍼스텍,010820
TIGER 증권,157500
삼성SDI우,006405
TIGER 미국나스닥100(H),448300
세아제강,306200
ACE 엔비디아밸류체인액티브,483320
신대양제지,016590
TIGER 200TR,310960
SOL 미국30년국채커버드콜(합성),473330
동아에스티,170900
TIGER 일본니케이225,241180
TIGER 인도니프티50,453870
풀무원,017810
TIGER 미국나스닥100커버드콜(합성),441680
TIGER 미국테크TOP10채권혼합,472170
DB,012030
KCC글라스,344820
아세아,002030
TIGER 지주회사,307520
KODEX 고배당주,279530
삼립,005610
제주항공,089590
한세실업,105630
TIME 글로벌우주테크&방산액티브,478150
SOL 금융지주플러스고배당,484880
넥스틸,092790
KODEX 삼성그룹밸류,213610
RISE 삼성그룹Top3채권혼합,448630
일진홀딩스,015860
엠씨넥스,097520
아세아시멘트,183190
우진,105840
KODEX 미국AI테크TOP10,485540
KPX홀딩스,092230
ACE 구글밸류체인액티브,483340
KODEX 테슬라커버드콜채권혼합액티브,475080
한투 KIS CD금리투자 ETN,570090
RISE 글로벌자산배분액티브,461490
WON 반도체밸류체인액티브,474590
ACE 베트남VN30(합성),245710
TIGER 200 중공업,139230
KoAct 코리아밸류업액티브,495230
SOL 미국테크TOP10,481190
KODEX 차이나CSI300,283580
트리니티항공,091810
퍼시스,016800
수산인더스트리,126720
신한 레버리지 코스피 200 선물 ETN,500069
KoAct 글로벌AI&로봇액티브,471040
ACE 미국30년국채액티브,476760
서연이화,200880
현대코퍼레이션,011760
남해화학,025860
SOL 미국S&P500,433330
ACE 단기통안채,190620
케이씨,029460
PLUS 고배당주위클리커버드콜,489030
천일고속,000650
RISE 비메모리반도체액티브,388420
넥센,005720
TCC스틸,002710
현대퓨처넷,126560
드림텍,192650
HK 종합채권(AA-이상)액티브,472920
포스코스틸리온,058430
SIMPAC,009160
대원제약,003220
ACE 원자력TOP10,433500
광동제약,009290
KISCO홀딩스,001940
롯데이노베이트,286940
삼성 레버리지 천연가스 선물 ETN D,530145
TIGER 200선물레버리지,267770
애경산업,018250
한국철강,104700
SOL 미국AI전력인프라,486450
이수화학,005950
제이에스코퍼레이션,194370
RISE 글로벌원자력,442320
KODEX 장기종합채권(AA-이상)액티브,363570
대원강업,000430
한국토지신탁,034830
RISE 미국30년국채엔화노출(합성 H),472870
TIGER 글로벌리튬&2차전지SOLACTIVE(합성),394670
대상홀딩스,084690
아세아제지,002310
KG케미칼,001390
진에어,272450
콜마홀딩스,024720
유나이티드제약,033270
LX하우시스,108670
RISE 단기통안채,196230
KODEX 단기변동금리부채권액티브,273140
국도화학,007690
한투 레버리지S&P500선물 ETN(H),570022
에이블씨엔씨,078520
TIGER 미국AI빅테크10타겟데일리커버드콜,493810
한양증권,001750
동국홀딩스,001230
KODEX 미국종합채권ESG액티브(H),437080
KIWOOM 미국양자컴퓨팅,498270
TIME K바이오액티브,463050
KODEX WTI원유선물인버스(H),271050
엘브이엠씨홀딩스,900140
RISE TDF2050액티브 적격,442570
서울가스,017390
JW홀딩스,096760
스틱인베스트먼트,026890
대한제강,084010
삼성 블룸버그 인버스2X WTI원유선물 ETN B,530134
TIGER 바이오TOP10,364970
광주신세계,037710
남양유업,003920
TIGER 미국투자등급회사채액티브(H),458260
TIGER 코리아테크액티브,471780
TIME 코리아밸류업액티브,495060
TIGER 중장기국채,302190
한국자산신탁,123890
TIGER 미국테크TOP10 INDXX(H),472160
RISE 코스피,302450
KODEX 미국나스닥100레버리지(합성 H),409820
PLUS 우주항공,421320
SOL 26-12 회사채(AA-이상)액티브,488980
세방,004360
삼영,003720
신한 레버리지 은 선물 ETN(H),500029
ACE 엔비디아채권혼합,448540
TIGER 차이나과창판STAR50(합성),414780
DS단석,017860
삼진제약,005500
한진,002320
휴스틸,005010
TYM,002900
KODEX 미국서학개미,473460
PKC,001340
SOL CD금리&머니마켓액티브,497880
삼영전자,005680
일성아이에스,003120
TIGER 미국채10년선물,305080
미래에셋 레버리지 반도체 ETN,520098
RISE 2차전지액티브,422420
HANARO 200TR,332930
삼성 레버리지 코스피200 선물 ETN,530104
KODEX TRF3070,329650
KODEX 200IT TR,363580
SOL 글로벌AI반도체탑픽액티브,423170
더본코리아,475560
1Q 단기금융채액티브,463290
아이마켓코리아,122900
한농화성,011500
이리츠코크렙,088260
TIGER 미국AI빅테크10,490090
SBS,034120
제이알글로벌리츠,348950
GS글로벌,001250
송원산업,004430
일신방직,003200
KIWOOM 머니마켓액티브,476450
RISE 고배당,266160
TIGER 화장품,228790
미원화학,134380
사조대림,003960
대성산업,128820
에스엠벡셀,010580
흥국화재,000540
KODEX 바이오,244580
영진약품,003520
KODEX 미국달러선물인버스2X,261260
LS네트웍스,000680
한국공항,005430
YG PLUS,037270
1Q CD금리액티브(합성),491610
코오롱글로벌,003070
이지스밸류플러스리츠,334890
WON 전단채플러스액티브,496020
SK디앤디,210980
KB스타리츠,432320
노루홀딩스,000320
KSS해운,044450
CR홀딩스,000480
BYC,001460
선진,136490
대동,000490
KPX케미칼,025000
LG우,003555
경방,000050
모토닉,009680
신세계 I&C,035510
S-Oil우,010955
스카이라이프,053210
SOL 미국배당다우존스(H),452360
사조산업,007160
TIGER 구리실물,160580
대한제당,001790
미래에셋증권우,006805
LG생활건강우,051905
미창석유,003650
KODEX 코스닥150선물인버스,251340
다올투자증권,030210
무학,033920
종근당홀딩스,001630
에이플러스에셋,244920
SOL 코리아밸류업TR,495550
미래에셋 CD금리 플러스 ETN,520094
서흥,008490
백산,035150
HDC랩스,039570
KEC,092220
잇츠한불,226320
디앤디플랫폼리츠,377190
화승엔터프라이즈,241590
신한서부티엔디리츠,404990
교촌에프앤비,339770
신한 WTI원유 선물 ETN,500099
삼화전기,009470
KODEX 2차전지핵심소재10,461950
성신양회,004980
ACE 26-06 회사채(AA-이상)액티브,461270
지누스,013890
삼익THK,004380
대한제분,001130
대성에너지,117580
MIDAS 코스피액티브,403790
에어부산,298690
한미글로벌,053690
TIGER 코스닥150 레버리지,233160
키움 레버리지 2차전지산업 ETN,760011
AJ네트웍스,095570
동성케미컬,102260
HS효성,487570
KODEX 건설,117700
KIWOOM 단기자금,130730
현대비앤지스틸,004560
알루코,001780
서연,007860
대신증권2우B,003547
ACE 미국빅테크7+데일리타겟커버드콜(합성),480020
환인제약,016580
ACE 200TR,332500
하이트진로홀딩스,000140
KIWOOM 인도Nifty50(합성),200250
TIGER 2차전지TOP10레버리지,412570
KODEX 200ESG,337160
동아지질,028100
진양홀딩스,100250
방림,003610
SJG세종,033530
만호제강,001080
KIWOOM CD금리액티브(합성),458210
ACE 미국반도체데일리타겟커버드콜(합성),480040
PLUS 코스피50,122090
LG헬로비전,037560
현대약품,004310
한국화장품제조,003350
DH오토넥스,000300
이연제약,102460
HANARO 전력설비투자,491820
경농,002100
KIWOOM 26-09회사채(AA-이상)액티브,464240
KODEX 미국배당다우존스타겟커버드콜,483290
JW생명과학,234080
한투 나스닥100 ETN,570051
계룡건설,013580
SOL 미국AI소프트웨어,481180
KODEX 코리아배당성장채권혼합,237370
TIGER LG그룹플러스,138530
도화엔지니어링,002150
계양전기,012200
ACE 미국500데일리타겟커버드콜(합성),480030
KODEX TDF2040액티브 적격,433980
TIGER 미국S&P500배당귀족,429000
SP삼화,000390
한세예스24홀딩스,016450
이월드,084680
TIGER 삼성그룹,138520
CJ우,001045
신세계푸드,031440
UNICORN SK하이닉스밸류체인액티브,494220
유화증권,003460
해태제과식품,101530
남선알미늄,008350
N2 월간 레버리지 방위산업 Top5 ETN,550092
RISE 단기국공채액티브,272560
신한 레버리지 금 선물 ETN,500037
ACE 코스닥150,354500
KODEX 미국30년국채울트라선물(H),304660
조선내화,462520
TIGER 차이나CSI300,192090
KB 레버리지 KOSPI 200 선물 ETN,580039
NH올원리츠,400760
경인양행,012610
하나제약,293480
강남제비스코,000860
CJ제일제당 우,097955
코스맥스비티아이,044820
금호석유화학우,011785
KODEX 성장주,325010
대창단조,015230
ACE 미국빅테크TOP7 Plus레버리지(합성),465610
롯데하이마트,071840
SYTS,002170
TIGER AI반도체핵심공정,471760
웅진,016880
TIGER 국고채30년스트립액티브,451530
파워 200,152870
TIGER 헬스케어,143860
일양약품,007570
대한화섬,003830
와이투솔루션,011690
동화약품,000020
KODEX 미국S&P500선물(H),219480
이구산업,025820
미래에셋 KRX금현물 Auto-KO-C 2810-01 ETN,520066
동국씨엠,460850
KODEX 차이나항셍테크,372330
KODEX 미국나스닥AI테크액티브,411420
한국석유,004090
KODEX 배당가치,325020
한국주철관,000970
TIGER Fn신재생에너지,377990
한솔제지,213500
효성화학,298000
1Q 코리아밸류업,495330
PLUS 코스피TR,328370
RISE 중기우량회사채,136340
키움 코스피 200 TR ETN,760007
하나 Solactive 2X US Tech Top 10 ETN(H),700023
노루페인트,090350
RISE 수소경제테마,367770
조일알미늄,018470
TIGER 미국MSCI리츠(합성 H),182480
삼일제약,000520
한투 S&P500선물 ETN,570050
화승인더,006060
RISE 미국배당100데일리고정커버드콜,490600
TIGER 미국다우존스30,245340
유니퀘스트,077500
수산세보틱스,017550
신라교역,004970
제일약품,271980
TIGER 200 건설,139220
일진다이아,081000
한진중공업홀딩스,003480
HANARO MSCI Korea TR,332940
효성ITX,094280
TIGER 글로벌혁신블루칩TOP10,464930
삼성 인버스 2X 천연가스 선물 ETN D,530136
유수홀딩스,000700
미래산업,025560
TIGER 글로벌자율주행&전기차SOLACTIVE,394660
TIGER 글로벌AI&로보틱스 INDXX,464310
동양,001520
동부건설,005960
N2 월간 레버리지 코스피 200 선물 ETN,550089
태경산업,015890
한투 레버리지일본니케이225선물 ETN(H),570106
자이에스앤디,317400
TIGER 국채3년,114820
금호건설,002990
PLUS 태양광&ESS,457990
KBI동양철관,008970
TIGER 차이나CSI300레버리지(합성),204480
삼양패키징,272550
한솔홀딩스,004150
미원홀딩스,107590
디와이파워,210540
SOL 2차전지소부장Fn,455860
KCTC,009070
SOL 미국S&P500ESG,399110
ACE 미국WideMoat동일가중,309230
태림포장,011280
신흥,004080
HANARO CAPEX설비투자iSelect,454320
ACE 중국본토CSI300,168580
이지스레지던스리츠,350520
ACE 라이프자산주주가치액티브,494330
두올,016740
진흥기업,002780
토니모리,214420
동양고속,084670
삼성제약,001360
KB 레버리지 반도체 TOP10 TR ETN,580082
RISE IT플러스,326240
SOL 미국TOP5채권혼합50,447620
텔코웨어,078000
삼성 레버리지 은 선물 ETN(H),530061
경보제약,214390
디씨엠,024090
TIGER 골드선물(H),319640
한일철강,002220
사조씨푸드,014710
현대리바트,079430
KODEX IT,266370
신원,009270
삼성 인버스 2X 코스닥150 선물 ETN,530107
HDC현대EP,089470
신영와코루,005800
SOL 미국나스닥100,476030
한국제지,027970
샘표,007540
DKME,015590
경동도시가스,267290
티에이치엔,019180
금강공업,014280
제일파마홀딩스,002620
TIGER 미국S&P500동일가중,488500
한신공영,004960
HS애드,035000
WON 200,448100
KODEX 미국달러선물인버스,261270
모나용평,070960
한투 레버리지WTI원유선물 ETN B,570116
PLUS 국공채머니마켓액티브,491230
파워 종합채권(AA-이상)액티브,498180
TIGER 글로벌AI플랫폼액티브,412770
대성홀딩스,016710
KODEX 미국나스닥100선물(H),304940
키다리스튜디오,020120
극동유화,014530
인천도시가스,034590
사조동아원,008040
KIWOOM 코리아밸류업,496090
경동인베스트,012320
삼익악기,002450
한국무브넥스,010100
삼성 레버리지 금 선물 ETN(H),530055
무림P&P,009580
신한 레버리지 S&P500 선물 ETN,500050
KODEX KRX300레버리지,306950
대창,012800
조선선재,120030
STX,011810
세원정공,021820
한투 레버리지천연가스선물 ETN C,570120
KODEX iShares미국하이일드액티브,468380
신한 레버리지 코스닥 150 선물 ETN,500071
BNK 26-06 특수채(AAA이상)액티브,495710
NPC,004250
화승코퍼레이션,013520
KoAct 배당성장액티브,476850
한독,002390
KODEX 미국10년국채선물,308620
그린케미칼,083420
태경비케이,014580
현대코퍼레이션홀딩스,227840
아시아나IDT,267850
차AI헬스케어,025620
한투 레버리지금선물 ETN,570059
RISE 200선물레버리지,252400
RISE 국고채3년,114100
메리츠 미국채30년 ETN(H),610037
ACE KPOP포커스,475050
벽산,007210
KODEX 미국S&P500테크놀로지,463680
KODEX 한국대만IT프리미어,298770
선도전기,007610
한국화장품,123690
HS화성,002460
마이티 26-09 특수채(AAA)액티브,465780
크라운제과,264900
SOL 국고채10년,438570
RISE 미국AI밸류체인TOP3Plus,485690
KC코트렐,119650
SOL K방산,490480
KIWOOM 미국S&P500,449770
PLUS 신흥국MSCI(합성 H),195980
샘표식품,248170
ACE 포스코그룹포커스,469170
동남합성,023450
SOL 미국AI반도체칩메이커,479620
대교,019680
PLUS 미국S&P500(H),269540
RISE 국고채10년액티브,481430
ACE 삼성그룹섹터가중,108450
KTcs,058850
DAISHIN343 AI반도체&인프라액티브,486240
디와이,013570
상상인증권,001290
N2 전력인프라 Top5 ETN,550093
미래에셋 레버리지 삼성전자 단일종목 ETN,520100
세이브존I&C,067830
TIGER 미국S&P500선물(H),143850
KODEX 코리아배당성장,211900
삼성공조,006660
PLUS 코리아밸류업,495040
TIGER 소프트웨어,157490
동성제약,002210
미래에셋 레버리지 SK하이닉스 단일종목ETN,520101
ACE 11월만기자동연장회사채AA-이상액티브,473440
진원생명과학,011000
HL D&I,014790
KODEX 코스피TR,359210
대양금속,009190
1Q 현대차그룹채권(A+이상)&국고통안,492500
부국증권우,001275
키움 레버리지 조선TOP10 ETN,760016
페이퍼코리아,001020
GS우,078935
아남전자,008700
ACE 글로벌인컴TOP10,460960
ACE 중장기국공채액티브,272910
주성코퍼레이션,109070
KODEX TRF5050,329660
아주스틸,139990
KODEX TRF7030,329670
티와이홀딩스,363280
TIGER BBIG,364960
황금에스티,032560
KODEX KRX300,292190
TIGER 미국나스닥바이오,203780
HANARO 코리아밸류업,495750
HANARO 200선물레버리지,304780
동방,004140
KODEX TDF2030액티브 적격,433970
KTis,058860
동일산업,004890
RISE 미국S&P500(H),453330
콘텐트리중앙,036420
